Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier,Delivery_Delay,Fulfillment_Status,High_Value_Order,NetRevenue,Customer_Segmentation
ORD1000,CUST202,Beauty,CREDIT CARD,1095.24,20,3,3,4.0,No,Tier 1,0,On-Time,No,876.19,Standard Order
ORD1001,CUST279,Electronics,CASH ON DELIVERY,3381.32,20,6,6,4.0,No,Tier 1,0,On-Time,No,2705.06,Loyal & Satisfied
ORD1002,CUST192,Home & Kitchen,DEBIT CARD,416.68,5,7,8,4.0,Yes,Tier 1,1,Unknown Status,No,395.85,Standard Order
ORD1003,CUST114,Fashion,DEBIT CARD,792.9,15,7,6,1.0,No,Tier 1,-1,Early,No,673.96,Standard Order
ORD1004,CUST206,Beauty,CASH ON DELIVERY,1770.58,0,5,7,4.0,No,Tier 1,2,Unknown Status,No,1770.58,Loyal & Satisfied
ORD1005,CUST171,Books,UPI,2767.12,0,7,6,4.0,No,Tier 1,-1,Early,No,2767.12,Loyal & Satisfied
ORD1006,CUST288,Books,UPI,1533.83,0,4,4,4.0,No,Tier 2,0,On-Time,No,1533.83,Loyal & Satisfied
ORD1007,CUST120,Fashion,DEBIT CARD,558.37,10,6,8,4.0,No,Tier 3,2,Unknown Status,No,502.53,Standard Order
ORD1008,CUST202,Fashion,UPI,1547.27,10,3,3,2.0,No,Tier 1,0,On-Time,No,1392.54,Standard Order
ORD1009,CUST221,Fashion,UPI,622.41,10,7,7,4.0,Yes,Tier 2,0,On-Time,No,560.17,Standard Order
ORD1010,CUST310,Electronics,CASH ON DELIVERY,1720.85,10,6,6,2.0,No,Tier 2,0,On-Time,No,1548.76,Standard Order
ORD1011,CUST314,Beauty,UPI,3895.8,5,7,9,5.0,No,Tier 1,2,Unknown Status,Yes,3701.01,Loyal & Satisfied
ORD1012,CUST174,Books,CASH ON DELIVERY,1733.55,15,2,2,4.0,No,Tier 3,0,On-Time,No,1473.52,Loyal & Satisfied
ORD1013,CUST302,Beauty,DEBIT CARD,2584.28,20,3,5,2.0,No,Tier 2,2,Unknown Status,No,2067.42,Standard Order
ORD1014,CUST187,Beauty,UPI,202.53,0,2,1,4.0,No,Tier 1,-1,Early,No,202.53,Standard Order
ORD1015,CUST216,Home & Kitchen,CASH ON DELIVERY,1717.2,5,3,4,4.0,No,Tier 2,1,Unknown Status,No,1631.34,Loyal & Satisfied
ORD1016,CUST199,Books,DEBIT CARD,2323.44,15,6,8,1.0,Yes,Tier 1,2,Unknown Status,No,1974.92,Standard Order
ORD1017,CUST203,Beauty,UPI,249.69,5,5,5,4.0,No,Tier 2,0,On-Time,No,237.21,Standard Order
ORD1018,CUST251,Books,CASH ON DELIVERY,2663.1,15,7,7,3.0,No,Tier 1,0,On-Time,No,2263.63,Standard Order
